Alexis Lafreniere
Quinton Byfield
Tim Stuetzle
Marco Rossi
Jamie Drysdale
Alexander Holtz
Cole Perfetti
Jake Sanderson
Jack Quinn
Anton Lundell
Iaroslav Askarov
Lucas Raymond
Kaiden Guhle
Justin Barron
Jeremie Poirier
Connor Zary
Braden Schneider
Hendrix Lapierre
Dawson Mercer
Dylan Holloway
William Wallinder
Seth Jarvis
Noel Gunler
Shakir Mukhamadullin
Helge Grans
Tyson Foerster
Thomas Bordeleau
Brendan Brisson
Mavrik Bourque
Ozzy Wiesblatt
Ty Smilanic
