Anton Lundell,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.54, 27.450000000000003, 21.95, 9.5, 3.66, 1.44, 0.33999999999999997, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Dawson Mercer,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.66, 1.87, 3.49, 5.62, 8.09, 9.07, 10.65, 11.92, 11.89, 11.1, 9.55, 7.42, 4.82, 2.77, 1.08, 0.0, 0.0, 0.0, 0.0, 0.0]"
William Wallinder,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06, 0.73, 2.2399999999999998, 4.5, 7.51, 12.57, 17.84, 19.33, 16.220000000000002, 10.489999999999998, 5.11, 2.46, 0.7000000000000001, 0.16999999999999998]"
Rodion Amirov,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.02, 9.09, 14.719999999999999, 15.28, 13.0, 10.86, 8.35, 6.34, 4.96, 4.109999999999999, 3.16, 2.3, 2.0500000000000003, 1.79, 1.38, 0.44999999999999996, 0.11, 0.03, 0.0, 0.0, 0.0]"
Mavrik Bourque,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.32, 1.7399999999999998, 3.88, 6.87, 10.56, 14.940000000000001, 18.740000000000002, 21.29, 13.489999999999998, 5.07, 2.18]"
Jeremie Poirier,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29, 1.08, 2.1, 3.3000000000000003, 4.6899999999999995, 5.779999999999999, 7.23, 7.8100000000000005, 8.17, 8.57, 8.780000000000001, 9.65, 10.35, 10.92, 8.37, 2.91, 0.0]"
Brendan Brisson,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.06, 0.38999999999999996, 1.06, 2.62, 5.13, 11.23, 15.64, 16.72]"
Seth Jarvis,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.44999999999999996, 2.48, 4.390000000000001, 5.88, 8.04, 9.3, 12.139999999999999, 15.740000000000002, 17.09, 11.55, 7.61, 3.5900000000000003, 1.27]"
Kaiden Guhle,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.029999999999999, 9.01, 12.520000000000001, 14.069999999999999, 13.919999999999998, 12.06, 10.48, 8.15, 5.94, 4.02, 2.3800000000000003, 1.26, 0.63, 0.27999999999999997, 0.16999999999999998, 0.06, 0.02, 0.0, 0.0]"
Braden Schneider,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22999999999999998, 0.73, 2.78, 5.46, 9.180000000000001, 12.75, 15.52, 15.24, 12.690000000000001, 9.4, 6.660000000000001, 4.8, 3.4000000000000004, 1.16, 0.0]"
Justin Barron,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.21, 3.08, 5.5, 7.6499999999999995, 8.459999999999999, 10.05, 9.969999999999999, 9.35, 8.93, 8.08, 6.909999999999999, 5.81, 4.93, 4.0, 2.58, 1.8399999999999999, 0.91, 0.5599999999999999]"
Daniel Torgersson,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.51, 3.7900000000000005, 7.16]"
Shakir Mukhamadullin,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08, 0.47000000000000003, 3.6999999999999997, 9.11, 13.020000000000001, 15.5, 14.760000000000002]"
Ozzy Wiesblatt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05]"
Ridly Greig,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Eemil Viro,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
