Alexis Lafreniere
Tim Stuetzle
Quinton Byfield
Cole Perfetti
Jamie Drysdale
Jack Quinn
Yaroslav Askarov
Marco Rossi
Lucas Raymond
Hendrix Lapierre
Connor Zary
Jake Sanderson
Alexander Holtz
Dylan Holloway
Tyson Foerster
Anton Lundell
Dawson Mercer
William Wallinder
Rodion Amirov
Mavrik Bourque
Jeremie Poirier
Brendan Brisson
Seth Jarvis
Kaiden Guhle
Braden Schneider
Justin Barron
Daniel Torgersson
Shakir Mukhamadullin
Ozzy Wiesblatt
Ridly Greig
Eemil Viro
