Alexis Lafreniere
Quinton Byfield
Jamie Drysdale
Tim Stuetzle
Jake Sanderson
Marco Rossi
Cole Perfetti
Jack Quinn
Alexander Holtz
Lucas Raymond
Iaroslav Askarov
Anton Lundell
Kaiden Guhle
Braden Schneider
Seth Jarvis
Dawson Mercer
Connor Zary
Dylan Holloway
Rodion Amirov
Hendrix Lapierre
Helge Grans
Ridly Greig
Jacob Perreault
Ozzy Wiesblatt
Brendan Brisson
Justin Barron
Jeremie Poirier
Tyson Foerster
Ty Smilanic
Mavrik Bourque
Noel Gunler
