Alexis Lafreniere
Lucas Raymond
Tim Stuetzle
Quinton Byfield
Jamie Drysdale
Alexander Holtz
Cole Perfetti
Marco Rossi
Anton Lundell
Yaroslav Askarov
Rodion Amirov
Noel Gunler
Jan Mysak
Jack Quinn
Jake Sanderson
Dylan Holloway
Connor Zary
Seth Jarvis
Hendrix Lapierre
Dawson Mercer
Mavrik Bourque
Justin Barron
Lukas Cormier
Kaiden Guhle
Braden Schneider
Jeremie Poirier
John-Jason Peterka
Alexander Pashin
Zion Nybeck
Martin Chromiak
Vasily Ponomarev

