Alexis Lafreniere
Tim Stuetzle
Jamie Drysdale
Quinton Byfield
Marco Rossi
Lucas Raymond
Cole Perfetti
Alexander Holtz
Anton Lundell
Iaroslav Askarov
Dylan Holloway
Dawson Mercer
Jake Sanderson
Kaiden Guhle
Noel Gunler
Braden Schneider
William Wallinder
Connor Zary
Rodion Amirov
Jan Mysak
Jack Quinn
Jacob Perreault
Mavrik Bourque
Jeremie Poirier
John-Jason Peterka
Hendrix Lapierre
Brendan Brisson
Lukas Cormier
Seth Jarvis
Thomas Bordeleau
Justin Barron
